name	output
USA	[-2.8617761722055657,3.0711542945052983,1.3954040931509784]
USA	[4.060067824816213,-1.1375530254341673,1.8034436032402654]
France	[1.9197265273261186,0.06725994149747459,-2.27414904501463]
USA	[-2.810005489781995,3.1474909582335484,1.383272278723312]
USA	[-2.891151958706738,3.403388467956885,1.5017331885142977]
USA	[1.9191838695251457,0.06685929949949711,-2.270194584862219]
Bahrain	[-4.273939423282221,-2.754187456203882,0.6770924891376136]
USA	[1.9492083507176776,0.09441111993375327,-2.5097974225780106]
USA	[4.051867699997476,-1.1337266459878628,1.7889961489759727]
Brazil	[4.0312407686184395,-0.8339635242439888,2.106637914798102]
USA	[-4.121149442995831,-2.9830949000493483,0.7610528171185906]
USA	[-3.8860647128226495,-2.889711726890241,0.6372379949277157]
USA	[4.03963107443801,-0.9885054728556693,1.968773068913756]
USA	[-2.890943469993782,3.399419819468289,1.5006307464922348]
USA	[-4.318654192032298,-3.0528833607978054,0.8625831040884693]
USA	[-4.275979093493578,-2.75840560867918,0.6750470691195283]
Brazil	[1.036732010004947,0.3825388764156097,-3.3990395129228723]
Jamaica	[4.035518084748323,-0.9870959714407924,1.9606379819230857]
USA	[-3.8425253219900224,-2.813402725434492,0.63825692729053]
USA	[1.9374114580742983,0.07898880479725072,-2.403630698093459]
Mexico	[4.044038912503569,-0.9888124810233359,1.9562451896488025]
Viet_Nam	[3.4262018517834014,-0.8522733853491109,0.2134454112103446]
Brazil	[1.0412988975673194,0.3852163749514282,-3.423954051863414]
USA	[4.039034797443367,-0.987634267284083,1.9626397664350557]
USA	[3.439790978154717,-0.8586190271272713,0.2035030590978098]
Jamaica	[4.036401128839,-0.9809699442308377,1.9660429670984716]
Japan	[-3.896033006530509,-2.9042257455451885,0.6374741999333869]
USA	[-3.834214879177184,-2.802835530496511,0.6380288589791017]
USA	[-3.834793743120739,-2.8025770876426486,0.6371230103647217]
USA	[-2.8255103138754074,3.209719943957991,1.4111217739358388]
Mexico	[3.448427277960982,-0.8618425402774634,0.2067091725946717]
USA	[-3.8982768582194374,-3.0936470311294517,0.7344306642297527]
USA	[-2.825697359227636,3.205843945420792,1.4099336832620486]
France	[1.8253621643530233,0.11911039139848087,-2.5322945160307375]
USA	[1.2516528459284357,0.19311300903037643,-2.17185485269349]
USA	[4.037253091569257,-0.9876181125075313,1.963765548839314]
Bahrain	[-4.201180696904123,-2.6409377458855237,0.6708968575580858]
Brazil	[4.087862867971338,-1.000842353540927,2.0624017880069694]
USA	[-2.808373313285988,3.1428541039727316,1.3855649729553916]
USA	[4.073904253599121,-1.1504963627423606,1.8786839898658025]
Brazil	[1.0599105746464972,0.3731787804601634,-3.394830748241296]
USA	[4.054420306342438,-1.128990800128304,1.855363668889176]
Japan	[-2.8831634144390703,3.3763843953443033,1.4911226113874174]
Brazil	[4.093108164029998,-1.0027420484938938,2.063467244084383]
Viet_Nam	[-4.281418332554846,-2.7693723831681014,0.6821423391146091]
Brazil	[4.101211607726342,-0.9986315216590476,2.0224517186351685]
USA	[-2.8115423350243867,3.1529796369333583,1.3863370156701773]
Brazil	[4.0929227405425905,-1.002942537166743,2.065622055171785]
USA	[1.374857724441961,0.34051018342283573,-2.2213974779950267]
USA	[-3.8329853845635404,-2.7987691498886873,0.638565909746394]
USA	[-2.8278061113221264,3.2306357071702174,1.2398061489786165]
Brazil	[4.101211607726342,-0.9986315216590478,2.0224517186351685]
Mexico	[4.035726339527089,-0.8345588540046792,2.1086815930760214]
Viet_Nam	[3.4276046583841198,-0.8520218518852808,0.2077186788786751]
USA	[4.05503133618346,-1.1297578256601848,1.858296086992665]
Uruguay	[4.0554724498845225,-1.1439336560007143,1.8527584263102945]
Japan	[4.047128220452532,-0.9890105149027005,1.975774986803046]
Mexico	[4.02695311564502,-0.8324650801264474,2.0960010118614236]
Bangladesh	[-4.2769329738387505,-2.7585004520182146,0.6772225281673536]
USA	[-2.8121636989908465,3.1541542004344927,1.3889921085313928]
Japan	[-4.223698438556852,-2.682615817197578,0.6691675330083016]
Brazil	[4.061986572377645,-1.1471111541247399,1.8613382618371357]
USA	[3.414563096584199,-0.8494455328889259,0.22567880626951392]
USA	[-2.889913355792869,3.3989260140394664,1.4998036424841223]
Mexico	[3.4435733040622685,-0.8590464021514331,0.20965137958344893]
USA	[-3.809577292528424,-2.7686869448982363,0.6348767561169245]
France	[4.039264446008226,-1.1362462626515457,1.817159790818125]
USA	[-3.8468864351603775,-2.8297032897495917,0.6410284415870021]
USA	[4.0326099169090215,-0.983415911813029,1.9316507476413014]
Japan	[-2.8390290969916787,3.2181213399959065,1.4238109428533579]
USA	[4.068178654815943,-1.1464245607060357,1.8652996897886858]
USA	[4.043785477505435,-0.8344314964783685,2.0965966937772373]
USA	[-4.199521292855132,-3.1050265449749754,0.758653721489363]
France	[1.5251866706687693,0.15079996135956053,-2.2703780510778855]
USA	[1.9252910488632817,0.07107588610348045,-2.3236171220338973]
Mexico	[3.318040466444437,-0.8132885329296989,0.060698939106994275]
Brazil	[-2.8763221100788203,3.3501564205829566,1.4788364448843208]
USA	[4.041091470987518,-0.991919515309782,1.972977604610391]
USA	[1.9541681605265389,0.09581785097253946,-2.5310639665242527]
USA	[-3.7905253141551962,-2.74130067480259,0.6380838010412148]
USA	[4.069352888771661,-1.1474847673806845,1.8709441189008533]
Japan	[4.047116251866759,-0.9884205284168236,1.9826496628441963]
USA	[-2.8804661848438933,3.347590687829354,1.4802592103166239]
USA	[1.9227660189949862,0.06887240070353566,-2.291987775789111]
Bahrain	[-3.893583990894823,-2.9121077882279955,0.6448360136223357]
USA	[4.062733596770361,-1.1283654101586846,1.8718371122519497]
USA	[4.049277610500741,-1.1266314774168469,1.8520425048699705]
USA	[-2.881377411112751,3.2573817356163017,1.3779753455049601]
Mexico	[4.039666686557931,-0.9848756106194734,1.9632657477963535]
USA	[4.06157520473737,-1.1351947644411526,1.8711859889668667]
France	[4.036333111229809,-1.1323904845958899,1.8210567447410555]
USA	[-3.760007255165883,-2.6873648958229284,0.6339536514460998]
USA	[-2.826315512254403,3.2032280000092026,1.4090433754962735]
USA	[-2.889672747419205,3.405466678396897,1.5067647102038155]
USA	[-4.262840006996889,-3.040625499738265,0.8203468784118617]
Japan	[-3.8972466310431697,-2.905086237904522,0.6411733047960547]
Mexico	[4.0345781155820015,-0.8343998086738414,2.106340892881785]
USA	[-2.8739019360347555,3.363222356918877,1.4964920281801242]
Brazil	[1.0350651602088226,0.38005313640907706,-3.3756665020118715]
USA	[4.048177130300177,-1.1389956326064972,1.837672548544583]
Brazil	[1.0347390162112953,0.3754812484412602,-3.3456486851431575]
USA	[-3.8835919944496857,-2.8851119855285243,0.6394000964797475]
USA	[4.047900755796441,-1.1776047172763133,1.8657822669513942]
Mexico	[3.417850930115106,-0.8497314610811811,0.21645994473172814]
USA	[1.9062095806786932,0.05078542949207084,-2.1076824926002207]
Mexico	[3.4400029454539305,-0.8576003921678996,0.20504534101082644]
USA	[-3.833113300376915,-2.796935731668308,0.6371184949154394]
USA	[-2.827526896107252,3.207464946449725,1.4107767240960147]
South_Africa	[1.393932007336302,0.1770215939121575,-2.303643937681593]
